GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"""48121""","Denton, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,55.501,60.058,63.938,68.607,75.644,82.046,88.547,91.796,92.290,92.166,94.999,100.000,106.349,115.040,124.745,132.111,141.146,145.189,146.120
"""48121""","Denton, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,8754889,9555536,10586992,11784190,13706835,15260310,16988888,18525176,17649323,18179055,19173639,20409592,22225066,24439004,26231792,28122564,30582599,32193859,33075853
"""48123""","DeWitt, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,580997,559610,561173,561897,679987,743299,789410,857552,927057,836561,1551503,3350935,4883480,6680766,9577651,8249103,7032773,6580474,6457833
"""48123""","DeWitt, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,17.338,16.700,16.747,16.768,20.292,22.182,23.558,25.591,27.666,24.965,46.301,100.000,145.735,199.370,285.820,246.173,209.875,196.377,192.717
"""48123""","DeWitt, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,444533,420763,465682,497550,681402,762779,847800,1089653,846135,870528,1749818,3350935,5220575,6920638,4804989,3585233,3872219,4322712,3454046
"""48125""","Dickens, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,91216,137222,129419,144450,139290,154696,175017,151655,167437,167344,161206,168554,148887,138081,130915,140380,139585,137955,135138
"""48125""","Dickens, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,54.117,81.411,76.782,85.699,82.638,91.778,103.834,89.974,99.337,99.282,95.640,100.000,88.332,81.921,77.669,83.285,82.813,81.846,80.175
"""48125""","Dickens, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,56458,77455,96331,123480,143563,160690,195410,213077,140411,170500,178464,168554,156746,145429,107498,110674,117267,122999,115336
"""48127""","Dimmit, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,221226,236312,244118,240487,252091,324653,331272,312513,351774,526695,1123197,2383727,3972467,4924272,5901160,5151900,5318032,5441878,5861898
"""48127""","Dimmit, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,9.281,9.914,10.241,10.089,10.576,13.620,13.897,13.110,14.757,22.095,47.119,100.000,166.649,206.579,247.560,216.128,223.097,228.293,245.913
"""48127""","Dimmit, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,152586,160133,185998,198761,237217,313695,335798,373509,317231,541362,1259127,2383727,4245032,5100044,2967354,2236009,2965560,3639783,3141959
"""48129""","Donley, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,118876,107560,114137,116933,125111,128916,108033,94213,89061,118003,109644,97609,128425,110640,134702,124084,152019,161529,153389
"""48129""","Donley, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,121.788,110.195,116.933,119.798,128.175,132.073,110.679,96.521,91.243,120.894,112.330,100.000,131.570,113.350,138.002,127.123,155.743,165.486,157.147
"""48129""","Donley, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,82318,73185,82189,92099,93856,97221,91742,81392,76391,104991,106813,97609,131541,112846,131766,117208,148286,159566,153974
"""48131""","Duval, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,900023,1015994,989471,969815,858802,821428,952095,866895,812223,612083,516400,517151,523005,510071,468162,421991,411755,426693,426024
"""48131""","Duval, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,174.035,196.460,191.331,187.530,166.064,158.837,184.104,167.629,157.057,118.357,99.855,100.000,101.132,98.631,90.527,81.599,79.620,82.508,82.379
"""48131""","Duval, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,458819,455253,626205,719774,832238,811283,995383,1175789,649021,596323,548535,517151,546111,533412,385359,335943,356133,390422,377576
"""48133""","Eastland, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,529162,557523,538850,519814,503516,530672,540564,538178,551315,605385,754218,876494,807385,785768,687455,623757,669684,864463,880569
"""48133""","Eastland, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,60.373,63.608,61.478,59.306,57.447,60.545,61.673,61.401,62.900,69.069,86.049,100.000,92.115,89.649,78.432,71.165,76.405,98.627,100.465
"""48133""","Eastland, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,372123,389816,403733,417797,437877,482211,511623,549094,502064,580655,748726,876494,821789,814340,691279,624491,696969,928072,927290
"""48135""","Ector, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,5650753,6059750,5780286,5997128,6150802,7207110,7958243,8631257,8863813,9363163,10917705,12860156,13033780,13145693,11652612,10231223,11096444,12984788,13450355
"""48135""","Ector, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,43.940,47.120,44.947,46.633,47.828,56.042,61.883,67.116,68.925,72.808,84.896,100.000,101.350,102.220,90.610,79.558,86.285,100.969,104.589
"""48135""","Ector, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,3838034,3976174,4295007,4781564,5532721,6685628,7680885,9375239,7870735,9089958,11201362,12860156,13501869,13691006,10456092,8980937,10258180,12389704,12705336
"""48137""","Edwards, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,259533,254197,249577,202578,203191,212300,193796,163706,155691,121174,106316,93165,103072,104528,113397,100298,99709,96367,101129
"""48137""","Edwards, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,278.573,272.846,267.887,217.440,218.098,227.875,208.013,175.716,167.113,130.064,114.116,100.000,110.633,112.196,121.717,107.656,107.024,103.436,108.548
"""48137""","Edwards, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,139355,117119,162662,155541,201603,213393,206213,226679,123721,119582,114941,93165,107420,106681,88128,74491,79475,81279,82817
"""48139""","Ellis, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,3324278,3429971,3464993,3712609,3766831,4005721,4467656,4308963,4072977,4257318,4557229,4738694,4700889,4692706,4808264,4996561,5179310,5497522,5663129
"""48139""","Ellis, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,70.152,72.382,73.121,78.347,79.491,84.532,94.280,90.931,85.951,89.842,96.171,100.000,99.202,99.030,101.468,105.442,109.298,116.013,119.508
"""48139""","Ellis, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,2530358,2613968,2698345,2996213,3202375,3600810,4133060,4043598,3777538,4032089,4469268,4738694,4767061,4877725,5113037,5362050,5690315,6235503,6495894
"""48141""","El Paso, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,19780341,20431019,20573924,21459847,21976789,22659691,23563929,23294673,23759459,25433147,26738510,27238372,26833277,26480708,26845268,27243010,27918578,28695703,29011802
"""48141""","El Paso, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,72.619,75.008,75.533,78.785,80.683,83.190,86.510,85.522,87.228,93.372,98.165,100.000,98.513,97.218,98.557,100.017,102.497,105.350,106.511
"""48141""","El Paso, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,15136724,15925303,16346663,17514606,18645065,19926092,21382307,21476608,22368646,24281966,26134400,27238372,27252097,27433168,28421043,29107016,30356215,32072784,33047656
"""48143""","Erath, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1031385,1096520,993848,983837,989883,1084216,1087680,1128064,1127650,1183852,1196312,1191736,1249100,1400686,1325565,1266943,1351779,1418641,1501122
"""48143""","Erath, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,86.545,92.010,83.395,82.555,83.062,90.978,91.269,94.657,94.622,99.338,100.384,100.000,104.814,117.533,111.230,106.311,113.429,119.040,125.961
"""48143""","Erath, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,794799,844461,787850,808919,832276,940636,984847,1067357,1026675,1111253,1168014,1191736,1281619,1450600,1365416,1319598,1435789,1535954,1661445
"""48145""","Falls, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,323375,345862,354361,353796,325847,340377,336809,318062,331004,354025,351415,352161,374778,360754,393655,374266,362058,363481,381764
"""48145""","Falls, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,91.826,98.211,100.625,100.464,92.528,96.654,95.641,90.317,93.992,100.529,99.788,100.000,106.422,102.440,111.783,106.277,102.810,103.214,108.406
"""48145""","Falls, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,232222,253903,268476,281235,263205,284326,297049,288028,305247,334747,344308,352161,381309,369825,401202,379178,375886,386925,417059
"""48147""","Fannin, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,663189,609167,610659,597844,573249,596777,567937,574745,578745,589596,588181,595767,610417,624871,657969,676608,716321,749086,804786
"""48147""","Fannin, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,111.317,102.249,102.500,100.349,96.220,100.170,95.329,96.471,97.143,98.964,98.727,100.000,102.459,104.885,110.441,113.569,120.235,125.735,135.084
"""48147""","Fannin, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,512892,476716,489941,499425,490315,527003,517313,533106,548848,567078,574413,595767,626769,658394,708087,739441,797552,857930,945119
"""48149""","Fayette, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1808932,1763933,1773763,1606739,1487160,1563950,1653531,1599647,1580384,1537953,1552689,1544679,1732627,1753022,1649853,1591941,1647932,1602357,1631933
"""48149""","Fayette, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,117.107,114.194,114.831,104.018,96.276,101.248,107.047,103.559,102.311,99.565,100.519,100.000,112.167,113.488,106.809,103.060,106.684,103.734,105.649
"""48149""","Fayette, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,1286794,1189753,1346539,1294062,1327323,1448148,1576161,1649967,1510871,1528446,1589906,1544679,1800545,1858519,1519425,1436673,1548491,1566874,1594814
"""48151""","Fisher, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,134910,139836,133563,133600,145683,143984,173477,155428,180696,228221,255592,224005,236888,219663,216291,214756,211085,280425,247867
"""48151""","Fisher, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,60.226,62.425,59.625,59.642,65.036,64.277,77.443,69.386,80.666,101.882,114.101,100.000,105.751,98.062,96.556,95.871,94.232,125.187,110.652
"""48151""","Fisher, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,94673,91934,105209,116753,138038,138589,180428,189923,146747,218000,273726,224005,248824,230572,168982,160518,171850,243910,202277
"""48153""","Floyd, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,256193,269563,265217,299676,340258,324393,361401,228147,270678,382846,234648,191644,227369,153952,180748,231186,320525,342537,376412
"""48153""","Floyd, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,133.682,140.659,138.391,156.372,177.547,169.269,188.580,119.048,141.240,199.770,122.440,100.000,118.642,80.333,94.315,120.633,167.251,178.737,196.412
"""48153""","Floyd, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,169984,173479,183073,230170,237370,222477,299916,191491,207523,321143,229298,191644,233726,158795,186391,235225,335995,363749,406503
"""48155""","Foard, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,50863,47534,54491,47190,40982,38608,52009,39221,41900,34804,34419,42626,46102,46067,36551,32296,34337,46062,55492
"""48155""","Foard, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,119.324,111.515,127.834,110.707,96.144,90.574,122.012,92.011,98.296,81.648,80.747,100.000,108.154,108.072,85.748,75.765,80.553,108.060,130.182
"""48155""","Foard, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,33092,29038,40084,39219,37542,35850,52798,45011,36826,34335,36098,42626,47997,46798,31909,27959,31185,43489,52048
"""48157""","Fort Bend, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,11743906,12428126,12574849,13174660,14323644,15753372,16900230,17348496,16672406,17245053,17690835,18719208,21310131,23488849,26823328,22516359,23328543,24578398,24909665
"""48157""","Fort Bend, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,62.737,66.392,67.176,70.380,76.518,84.156,90.283,92.678,89.066,92.125,94.506,100.000,113.841,125.480,143.293,120.285,124.624,131.300,133.070
"""48157""","Fort Bend, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,9035298,9579865,10063707,10875564,12417853,14073397,15522875,16360307,15878221,16551298,17315058,18719208,21701253,24298887,27727777,22798881,24100580,26013392,26816286
"""48159""","Franklin, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,293100,325423,306101,303880,298692,301434,299160,291564,288782,292082,273285,330685,357552,387728,429922,416509,438013,447789,429542
"""48159""","Franklin, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,88.634,98.409,92.566,91.894,90.325,91.155,90.467,88.170,87.329,88.326,82.642,100.000,108.125,117.250,130.010,125.954,132.456,135.413,129.895
"""48159""","Franklin, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,215941,230373,241340,257999,269050,276954,288991,308622,262648,283241,278684,330685,365780,389470,378608,353881,392330,411407,391169
"""48161""","Freestone, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,2572105,3142856,3553897,3437477,3335321,3329191,3351363,3092449,3344526,2778307,2271218,1974888,1906415,1937284,2033745,1799946,1786603,1284885,1330268
"""48161""","Freestone, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,130.241,159.141,179.954,174.059,168.887,168.576,169.699,156.589,169.353,140.682,115.005,100.000,96.533,98.096,102.980,91.142,90.466,65.061,67.359
"""48161""","Freestone, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,1416404,1511900,2351592,2633690,3295951,3375653,3578552,4215547,2779055,2795652,2490694,1974888,1993559,2040669,1589853,1322717,1439425,1117117,1100041
"""48163""","Frio, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,331715,383814,354222,326681,331663,380303,425891,446657,444332,492070,750306,1119428,1300587,1578450,1565113,1301870,1356016,1478465,1453416
"""48163""","Frio, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,29.633,34.287,31.643,29.183,29.628,33.973,38.045,39.900,39.693,43.957,67.026,100.000,116.183,141.005,139.814,116.298,121.135,132.073,129.836
"""48163""","Frio, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,250475,282066,284938,284283,299703,352637,415769,473903,413865,489676,787692,1119428,1357750,1641690,1245322,972644,1134478,1337418,1214753
"""48165""","Gaines, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,2554993,3353420,2609748,2592096,2389081,2787170,2945458,2642883,3395533,3159689,3098326,3678016,3424158,2960280,3190368,3128446,3367889,3163565,3383184
"""48165""","Gaines, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,69.467,91.175,70.955,70.475,64.956,75.779,80.083,71.856,92.320,85.907,84.239,100.000,93.098,80.486,86.742,85.058,91.568,86.013,91.984
"""48165""","Gaines, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,1346665,1482539,1714058,2033950,2447006,2884103,3259884,3928171,2626901,3215277,3591178,3678016,3655943,3071114,1824393,1601781,2096719,2277660,2079016
"""48167""","Galveston, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,13841258,13325273,13696310,15829000,13807837,13988993,16336088,14559128,14904718,15052856,14683549,13708486,14104411,12480352,13589934,14187779,15174292,15512337,15757277
"""48167""","Galveston, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,100.969,97.205,99.911,115.469,100.725,102.046,119.168,106.205,108.726,109.807,107.113,100.000,102.888,91.041,99.135,103.496,110.693,113.159,114.945
"""48167""","Galveston, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,7956841,7491599,8228574,10062558,9931279,10693137,13096422,11717860,11317669,12393033,14017221,13708486,13727480,12181589,13280190,13299810,15084372,16627092,16361424
"""48169""","Garza, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,384837,472233,368104,369470,345667,417102,454292,421475,514512,458725,452312,517774,465534,413753,398268,400531,356694,343284,364030
"""48169""","Garza, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,74.325,91.204,71.094,71.357,66.760,80.557,87.739,81.401,99.370,88.596,87.357,100.000,89.911,79.910,76.919,77.356,68.890,66.300,70.307
"""48169""","Garza, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,214080,228852,249051,290890,344825,423493,491655,586932,411362,461230,509124,517774,492492,429116,265476,247801,255256,275151,261200
"""48171""","Gillespie, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,531677,566695,589218,613557,644602,689997,721773,715515,715926,724563,733797,767254,762086,796226,821525,842748,848147,882537,913683
"""48171""","Gillespie, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,69.296,73.860,76.796,79.968,84.014,89.931,94.072,93.257,93.310,94.436,95.639,100.000,99.326,103.776,107.073,109.839,110.543,115.025,119.085
"""48171""","Gillespie, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,403690,440793,469245,505311,548522,608013,658039,665236,681226,695684,714318,767254,780309,836109,883899,926963,948735,1008977,1072721
"""48173""","Glasscock, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,405667,503561,405891,368422,367164,392895,501224,433727,578384,664782,1086539,2093100,2403687,2721742,3320329,3547395,3872846,5003361,5687309
"""48173""","Glasscock, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,19.381,24.058,19.392,17.602,17.542,18.771,23.946,20.722,27.633,31.761,51.911,100.000,114.839,130.034,158.632,169.480,185.029,239.041,271.717
"""48173""","Glasscock, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,206717,209501,264313,290603,383892,414820,568582,654881,451699,689203,1291581,2093100,2588561,2823213,1514973,1364854,1973946,3151389,2751768
"""48175""","Goliad, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,763739,727971,751493,789570,989474,1125027,908373,745526,686677,532139,461815,484325,416265,420678,323298,312233,333597,330038,318048
"""48175""","Goliad, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,157.691,150.306,155.163,163.025,204.300,232.288,187.554,153.931,141.780,109.872,95.352,100.000,85.947,86.859,66.752,64.468,68.879,68.144,65.668
"""48175""","Goliad, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,446000,379897,505979,598391,938473,1095113,927684,944845,613900,532201,487192,484325,432478,454534,314369,294906,329514,340960,328082
"""48177""","Gonzales, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,587051,648814,593492,598323,607116,612522,572206,593710,620052,815909,1527314,3617576,5266121,5298726,5226173,4901192,4649533,4720766,5234195
"""48177""","Gonzales, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,16.228,17.935,16.406,16.539,16.782,16.932,15.817,16.412,17.140,22.554,42.219,100.000,145.570,146.472,144.466,135.483,128.526,130.495,144.688
"""48177""","Gonzales, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,443112,479933,470128,513312,515164,527791,529965,579563,584398,824802,1721691,3617576,5628196,5465137,2792939,2296198,2673436,3133399,2898272
"""48179""","Gray, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,989705,1049384,1015305,1113953,1167997,1289947,1344858,1215257,1100734,1094228,1176167,1253952,1291666,1289064,1216103,1043923,1065737,1094833,1119564
"""48179""","Gray, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,78.927,83.686,80.968,88.835,93.145,102.871,107.250,96.914,87.781,87.262,93.797,100.000,103.008,102.800,96.982,83.251,84.990,87.311,89.283
"""48179""","Gray, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,671203,688536,746603,871250,1001236,1134536,1236533,1236682,966350,1029985,1175092,1253952,1334464,1341459,1158210,976285,1044876,1108399,1128296
"""48181""","Grayson, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,3071688,3136721,3208303,3413514,3418533,3699029,3721832,3787180,3793865,3854354,4070958,4184566,4213835,4279418,4411786,4454424,4587022,4797618,4866248
"""48181""","Grayson, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,73.405,74.959,76.670,81.574,81.694,88.397,88.942,90.504,90.663,92.109,97.285,100.000,100.699,102.267,105.430,106.449,109.618,114.650,116.290
"""48181""","Grayson, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,2720080,2792398,2900548,3137640,3224127,3523772,3588478,3715708,3657985,3763394,4029850,4184566,4305171,4446277,4560188,4645063,4861850,5193685,5357836
"""48183""","Gregg, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,5888039,5630364,5619917,5781483,6240858,6774767,7540802,7680466,7481053,7681838,8249646,8419238,8344628,8122079,7520193,6944429,6940619,7366460,7455386
"""48183""","Gregg, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,69.936,66.875,66.751,68.670,74.126,80.468,89.566,91.225,88.857,91.241,97.986,100.000,99.114,96.470,89.322,82.483,82.438,87.496,88.552
"""48183""","Gregg, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,4304399,4079740,4332480,4653254,5404183,6041471,6951706,7512419,6866160,7291675,8102465,8419238,8529871,8431085,7691875,7131203,7288450,7903321,8098085
"""48185""","Grimes, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1177762,1090222,1131027,1069611,1124293,1133376,1187359,1291368,1285961,1226046,1325740,1385578,1353395,1269896,1187725,1091675,1022417,1031941,1044079
"""48185""","Grimes, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,85.001,78.684,81.629,77.196,81.143,81.798,85.694,93.201,92.810,88.486,95.681,100.000,97.677,91.651,85.721,78.788,73.790,74.477,75.353
"""48185""","Grimes, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,846477,755203,863754,865344,998968,1049336,1130271,1325618,1234438,1209223,1338176,1385578,1403731,1347557,1175991,1070100,1031730,1077241,1107609
"""48187""","Guadalupe, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,2455653,2752765,2729048,2679471,2823799,3121756,3093216,3267947,3020179,3344721,3649396,3964418,4929051,5527100,6082669,5324974,4953209,5188880,5346735
"""48187""","Guadalupe, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,61.942,69.437,68.839,67.588,71.229,78.744,78.024,82.432,76.182,84.369,92.054,100.000,124.332,139.418,153.432,134.319,124.942,130.886,134.868
"""48187""","Guadalupe, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,2126643,2362488,2375902,2376474,2572330,2906656,2947239,3181938,2919226,3275132,3598418,3964418,5025038,5802960,6639364,5855470,5516088,5845574,6072885
"""48189""","Hale, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1301204,1423067,1313084,1342540,1398827,1447926,1456738,1506338,1567694,1675027,1474066,1402895,1386684,1274365,1269320,1207499,1201740,1246989,1387749
"""48189""","Hale, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,92.751,101.438,93.598,95.698,99.710,103.210,103.838,107.374,111.747,119.398,105.073,100.000,98.844,90.838,90.479,86.072,85.661,88.887,98.920
"""48189""","Hale, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,936577,1011795,1012702,1093654,1184963,1237205,1328692,1514178,1369505,1574306,1478988,1402895,1427381,1310539,1216147,1142293,1181203,1262049,1409841
"""48191""","Hall, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,80757,84441,95053,85388,92354,100529,106576,81473,139110,129489,84559,82715,108170,83918,83736,75172,81111,83030,75513
"""48191""","Hall, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,97.633,102.086,114.915,103.231,111.652,121.536,128.847,98.498,168.180,156.548,102.228,100.000,130.774,101.454,101.234,90.880,98.060,100.380,91.292
"""48191""","Hall, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,56182,59162,69127,66230,71329,79372,93360,72444,116723,117064,83076,82715,110227,85626,86666,78531,87098,89931,82968
"""48193""","Hamilton, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,185589,193540,188971,187648,177441,195041,203183,218068,219489,222264,216600,221057,213354,213650,202234,211193,214390,223351,236269
"""48193""","Hamilton, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,83.955,87.552,85.485,84.887,80.269,88.231,91.914,98.648,99.291,100.546,97.984,100.000,96.515,96.649,91.485,95.538,96.984,101.038,106.881
"""48193""","Hamilton, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,141207,149236,150497,156312,151992,172538,186250,204136,208990,213725,211243,221057,218559,223430,215915,229087,236055,251355,273030
"""48195""","Hansford, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,683132,701880,668183,620495,661216,645578,582239,534962,585777,651902,627015,740392,560207,761389,1019445,893614,853996,774670,792363
