GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"""48015""","Austin, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,854568,858301,898499,965645,1029250,1190406,1358630,1276428,1201689,1253288,1163087,1158459,1155606,1157919,1148119,1156155,1211919,1296380,1314726
"""48015""","Austin, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,73.768,74.090,77.560,83.356,88.846,102.758,117.279,110.183,103.732,108.186,100.399,100.000,99.754,99.953,99.107,99.801,104.615,111.906,113.489
"""48015""","Austin, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,658932,656732,725621,814253,930941,1094401,1278389,1235833,1148148,1217135,1150033,1158459,1182272,1204350,1183112,1211858,1290884,1425928,1476345
"""48017""","Bailey, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,326943,293631,306814,315595,367123,385972,339603,322156,256831,384763,365296,356516,347084,413479,416893,386473,435179,440914,455961
"""48017""","Bailey, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,91.705,82.361,86.059,88.522,102.975,108.262,95.256,90.362,72.039,107.923,102.463,100.000,97.354,115.977,116.935,108.402,122.064,123.673,127.893
"""48017""","Bailey, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,220229,194180,213339,237402,262673,276618,275856,267810,210078,328378,355069,356516,356987,416244,389696,339572,400125,402466,420462
"""48019""","Bandera, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,220758,243703,242933,257055,273606,284546,292809,288828,287295,294149,299302,302871,347109,320741,326983,322787,314949,319460,338951
"""48019""","Bandera, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,72.888,80.464,80.210,84.873,90.337,93.950,96.678,95.363,94.857,97.121,98.822,100.000,114.606,105.900,107.961,106.576,103.988,105.478,111.913
"""48019""","Bandera, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,167272,189157,194254,213438,235069,254009,270835,272277,273685,283094,292634,302871,351687,330613,344228,341076,340978,354149,386239
"""48021""","Bastrop, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1124575,1264172,1279763,1278741,1325562,1508390,1593068,1566365,1608182,1572411,1649604,1676557,1651327,1668982,1753168,1791918,1885456,1987686,2023331
"""48021""","Bastrop, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,67.076,75.403,76.333,76.272,79.065,89.970,95.020,93.427,95.922,93.788,98.392,100.000,98.495,99.548,104.570,106.881,112.460,118.558,120.684
"""48021""","Bastrop, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,852562,968045,1012467,1045721,1132941,1356102,1476117,1491416,1557963,1532520,1630767,1676557,1695724,1772679,1890478,1947322,2085150,2248513,2345261
"""48023""","Baylor, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,100204,107002,108726,106753,105061,126592,117599,125109,112092,110170,116733,124230,138625,142010,161731,155480,160263,164005,172487
"""48023""","Baylor, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,80.660,86.132,87.520,85.932,84.570,101.902,94.663,100.708,90.229,88.683,93.966,100.000,111.587,114.312,130.187,125.155,129.005,132.018,138.845
"""48023""","Baylor, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,74603,78732,85777,91060,89489,108969,111040,123900,101377,104273,116111,124230,142661,144351,152147,142845,152770,159999,170727
"""48025""","Bee, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,935063,971872,937932,892644,902997,916433,979709,934923,948453,874159,874025,903580,952697,935836,876223,827122,797898,784532,810426
"""48025""","Bee, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,103.484,107.558,103.802,98.790,99.936,101.423,108.425,103.469,104.966,96.744,96.729,100.000,105.436,103.570,96.972,91.538,88.304,86.825,89.691
"""48025""","Bee, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,586752,582358,666334,696427,815591,849880,953477,1068073,828491,844387,886676,903580,985388,976763,817266,766319,771141,788965,818155
"""48027""","Bell, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,9821959,10155595,10641711,11106441,11943902,13025288,13806115,14707707,14863913,14728037,15032035,14780775,14376331,14297198,14817983,14322696,14546704,14821642,15064785
"""48027""","Bell, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,66.451,68.708,71.997,75.141,80.807,88.123,93.406,99.506,100.562,99.643,101.700,100.000,97.264,96.728,100.252,96.901,98.416,100.276,101.921
"""48027""","Bell, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,7338688,7830151,8462588,9094284,10132520,11478171,12568357,13660560,14101989,14214831,14781823,14780775,14599847,14820038,15670776,15313636,15839323,16557191,17215074
"""48029""","Bexar, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,58844426,60423181,63219283,65503402,67476912,70599194,72992061,73721044,72400030,74948083,77735009,78242788,79541386,82825816,87585640,90039186,90807070,94822192,96048613
"""48029""","Bexar, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,75.207,77.225,80.799,83.718,86.240,90.231,93.289,94.221,92.533,95.789,99.351,100.000,101.660,105.857,111.941,115.077,116.058,121.190,122.757
"""48029""","Bexar, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,46232980,48480022,51872284,55188165,58536855,63124794,67180312,68976073,69153000,72343513,76081751,78242788,81200427,86374870,92980898,97030952,99176380,105882703,109258861
"""48031""","Blanco, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,193658,207922,206115,210795,205925,220661,229450,222178,232306,237876,240260,251053,261142,272275,290212,296426,307057,313898,333819
"""48031""","Blanco, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,77.138,82.820,82.100,83.964,82.024,87.894,91.395,88.498,92.533,94.751,95.701,100.000,104.019,108.453,115.598,118.073,122.308,125.033,132.968
"""48031""","Blanco, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,142873,155545,159567,170026,173321,194540,210683,207769,220185,228339,234405,251053,267347,285281,312021,323891,341999,359358,388241
"""48033""","Borden, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,259944,383293,280519,292108,286974,326408,359554,331799,423503,392961,409927,479751,458087,382194,400706,460660,458018,569987,834111
"""48033""","Borden, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,54.183,79.894,58.472,60.887,59.817,68.037,74.946,69.161,88.276,81.909,85.446,100.000,95.484,79.665,83.524,96.021,95.470,118.809,173.863
"""48033""","Borden, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,131315,158692,181655,229143,303513,348380,409484,513346,325575,403753,482094,479751,491591,398120,223990,230013,272789,395313,475501
"""48035""","Bosque, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,376825,426870,428763,421651,434387,424340,405909,400650,404645,410229,455333,500807,524852,520770,533576,528581,525304,515550,535444
"""48035""","Bosque, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,75.243,85.236,85.614,84.194,86.737,84.731,81.051,80.001,80.799,81.914,90.920,100.000,104.801,103.986,106.543,105.546,104.891,102.944,106.916
"""48035""","Bosque, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,278952,316686,329981,337841,357828,363997,359613,360353,379048,388378,448077,500807,540448,554841,574750,567048,573807,576948,614816
"""48037""","Bowie, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,2917405,3003897,3066591,3149269,3263741,3440431,3470945,3555755,3486415,3508526,3519183,3514004,3362488,3319900,3384245,3375284,3349013,3353405,3360961
"""48037""","Bowie, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,83.022,85.484,87.268,89.621,92.878,97.906,98.775,101.188,99.215,99.844,100.147,100.000,95.688,94.476,96.307,96.052,95.305,95.430,95.645
"""48037""","Bowie, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,2218433,2332260,2440497,2593662,2772646,3017191,3144377,3293318,3297620,3369200,3436651,3514004,3437086,3463980,3598923,3651139,3685742,3785327,3887299
"""48039""","Brazoria, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,10735936,10659536,10044860,10320916,10196232,10871292,11066406,11035925,10943338,12318131,12314097,13312895,13984725,13982321,14154472,14189548,14291525,15103868,14949708
"""48039""","Brazoria, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,80.643,80.069,75.452,77.526,76.589,81.660,83.125,82.897,82.201,92.528,92.498,100.000,105.046,105.028,106.322,106.585,107.351,113.453,112.295
"""48039""","Brazoria, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,7589382,7438191,7374443,7869268,8306641,9182998,9636120,10025148,9837501,11353037,11965522,13312895,14227958,14544731,14744863,14812738,15479284,17065446,16897873
"""48041""","Brazos, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,5395335,5500891,5742651,5944638,6162920,6546645,6758515,6883469,7294231,7415220,7410403,7725346,8190222,8591832,8953756,9030378,9189607,9554888,9631682
"""48041""","Brazos, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,69.839,71.206,74.335,76.950,79.775,84.742,87.485,89.102,94.419,95.986,95.923,100.000,106.018,111.216,115.901,116.893,118.954,123.682,124.676
"""48041""","Brazos, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,4069817,4217418,4576213,4902410,5308092,5809449,6194708,6541499,6878172,7146050,7284517,7725346,8422338,8996765,9066145,9218284,9605794,10258119,10482501
"""48043""","Brewster, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,317195,321057,368520,374527,357513,361882,332850,321562,338386,350790,347591,343713,351522,351127,349904,340513,339662,349847,367037
