quantity_index,thousands_chained_2012_$_2019,thousands_$_2019,GeoFIPS,fips_clipped
71.946,380154.0,196382.0,"""48263""",48263
113.266,1741955.0,2027324.0,"""48265""",48265
98.81,141703.0,151964.0,"""48267""",48267
106.549,193454.0,105658.0,"""48269""",48269
140.725,112499.0,127247.0,"""48271""",48271
92.969,1156214.0,1226005.0,"""48273""",48273
104.622,165859.0,153892.0,"""48275""",48275
124.223,2559287.0,2915481.0,"""48277""",48277
91.848,787385.0,783799.0,"""48279""",48279
102.213,439732.0,508114.0,"""48281""",48281
219.435,7667819.0,3822634.0,"""48283""",48283
174.345,1671655.0,1245108.0,"""48285""",48285
104.81,981651.0,963401.0,"""48287""",48287
81.557,943624.0,747872.0,"""48289""",48289
108.462,2019615.0,2188828.0,"""48291""",48291
97.428,1568325.0,1594240.0,"""48293""",48293
94.639,802246.0,477569.0,"""48295""",48295
149.54,2533580.0,1490429.0,"""48297""",48297
140.153,662458.0,774274.0,"""48299""",48299
1352.594,10114468.0,4696576.0,"""48301""",48301
113.391,12583659.0,14441381.0,"""48303""",48303
130.239,271089.0,258179.0,"""48305""",48305
96.595,337154.0,374975.0,"""48307""",48307
120.827,11475725.0,13183964.0,"""48309""",48309
180.444,3450145.0,1635803.0,"""48311""",48311
121.785,858701.0,592227.0,"""48313""",48313
124.096,282579.0,303325.0,"""48315""",48315
425.949,12836342.0,6404151.0,"""48317""",48317
109.356,125396.0,139211.0,"""48319""",48319
107.471,2130241.0,2356047.0,"""48321""",48321
119.776,1659423.0,1828444.0,"""48323""",48323
121.227,932056.0,1057609.0,"""48325""",48325
83.717,56296.0,52820.0,"""48327""",48327
197.487,29800548.0,25784700.0,"""48329""",48329
62.642,661403.0,710143.0,"""48331""",48331
142.755,179402.0,203591.0,"""48333""",48333
66.155,473663.0,350301.0,"""48335""",48335
94.79,988516.0,745725.0,"""48337""",48337
151.775,26608080.0,30124957.0,"""48339""",48339
156.557,2661614.0,2252441.0,"""48341""",48341
81.102,733044.0,665272.0,"""48343""",48343
96.875,33606.0,34206.0,"""48345""",48345
100.531,2656946.0,2640862.0,"""48347""",48347
103.784,1557660.0,1776193.0,"""48349""",48349
96.074,519674.0,542259.0,"""48351""",48351
101.426,1019287.0,1040513.0,"""48353""",48353
103.336,19396867.0,20812091.0,"""48355""",48355
91.217,1474669.0,1018709.0,"""48357""",48357
125.074,339263.0,282801.0,"""48359""",48359
110.955,3551082.0,4050008.0,"""48361""",48361
112.007,1071304.0,1121960.0,"""48363""",48363
137.722,3093874.0,2071022.0,"""48365""",48365
119.744,3998281.0,4193222.0,"""48367""",48367
128.018,1150418.0,1002924.0,"""48369""",48369
171.356,3973700.0,2569754.0,"""48371""",48371
112.566,1246897.0,1301001.0,"""48373""",48373
104.933,7717554.0,8717344.0,"""48375""",48375
116.219,250526.0,266251.0,"""48377""",48377
123.959,193389.0,224459.0,"""48379""",48379
116.547,3591737.0,3982943.0,"""48381""",48381
